image,x,y,r,g,b
hm,8,3,0,0,139
hm,8,4,0,0,139
hm,8,5,0,0,139
hm,8,6,0,0,139
hm,8,7,0,0,139
hm,8,8,0,0,139
hm,8,9,255,255,255
hm,8,10,0,0,139
hm,9,1,0,0,139
hm,9,2,0,0,139
hm,9,3,0,0,139
hm,9,4,255,255,255
hm,9,5,0,0,139
hm,9,6,0,0,139
hm,9,7,0,0,139
hm,9,8,0,0,139
hm,9,9,0,0,139
hm,9,10,0,0,139
hm,10,1,0,0,139
hm,10,2,0,0,139
hm,10,3,0,0,139
hm,10,4,0,0,139
hm,10,5,0,0,139
hm,10,6,0,0,139
hm,10,7,0,0,139
hm,10,8,0,0,139
hm,10,9,0,0,139
hm,10,10,0,0,139
gb-eng,1,1,255,255,255
gb-eng,1,2,255,255,255
gb-eng,1,3,255,255,255
gb-eng,1,4,255,255,255
gb-eng,1,5,200,16,46
gb-eng,1,6,200,16,46
gb-eng,1,7,255,255,255
gb-eng,1,8,255,255,255
gb-eng,1,9,255,255,255
gb-eng,1,10,255,255,255
gb-eng,2,1,255,255,255
gb-eng,2,2,255,255,255
gb-eng,2,3,255,255,255
gb-eng,2,4,255,255,255
gb-eng,2,5,200,16,46
gb-eng,2,6,200,16,46
gb-eng,2,7,255,255,255
gb-eng,2,8,255,255,255
gb-eng,2,9,255,255,255
gb-eng,2,10,255,255,255
gb-eng,3,1,255,255,255
gb-eng,3,2,255,255,255
gb-eng,3,3,255,255,255
gb-eng,3,4,255,255,255
gb-eng,3,5,200,16,46
gb-eng,3,6,200,16,46
gb-eng,3,7,255,255,255
gb-eng,3,8,255,255,255
gb-eng,3,9,255,255,255
gb-eng,3,10,255,255,255
gb-eng,4,1,255,255,255
gb-eng,4,2,255,255,255
gb-eng,4,3,255,255,255
gb-eng,4,4,255,255,255
gb-eng,4,5,200,16,46
gb-eng,4,6,200,16,46
gb-eng,4,7,255,255,255
gb-eng,4,8,255,255,255
gb-eng,4,9,255,255,255
gb-eng,4,10,255,255,255
gb-eng,5,1,200,16,46
gb-eng,5,2,200,16,46
gb-eng,5,3,200,16,46
gb-eng,5,4,200,16,46
gb-eng,5,5,200,16,46
gb-eng,5,6,200,16,46
gb-eng,5,7,200,16,46
gb-eng,5,8,200,16,46
gb-eng,5,9,200,16,46
gb-eng,5,10,200,16,46
gb-eng,6,1,200,16,46
gb-eng,6,2,200,16,46
gb-eng,6,3,200,16,46
gb-eng,6,4,200,16,46
gb-eng,6,5,200,16,46
gb-eng,6,6,200,16,46
gb-eng,6,7,200,16,46
gb-eng,6,8,200,16,46
gb-eng,6,9,200,16,46
gb-eng,6,10,200,16,46
gb-eng,7,1,255,255,255
gb-eng,7,2,255,255,255
gb-eng,7,3,255,255,255
gb-eng,7,4,255,255,255
gb-eng,7,5,200,16,46
gb-eng,7,6,200,16,46
gb-eng,7,7,255,255,255
gb-eng,7,8,255,255,255
gb-eng,7,9,255,255,255
gb-eng,7,10,255,255,255
gb-eng,8,1,255,255,255
gb-eng,8,2,255,255,255
gb-eng,8,3,255,255,255
gb-eng,8,4,255,255,255
gb-eng,8,5,200,16,46
gb-eng,8,6,200,16,46
gb-eng,8,7,255,255,255
gb-eng,8,8,255,255,255
gb-eng,8,9,255,255,255
gb-eng,8,10,255,255,255
gb-eng,9,1,255,255,255
gb-eng,9,2,255,255,255
gb-eng,9,3,255,255,255
gb-eng,9,4,255,255,255
gb-eng,9,5,200,16,46
gb-eng,9,6,200,16,46
gb-eng,9,7,255,255,255
gb-eng,9,8,255,255,255
gb-eng,9,9,255,255,255
gb-eng,9,10,255,255,255
gb-eng,10,1,255,255,255
gb-eng,10,2,255,255,255
gb-eng,10,3,255,255,255
gb-eng,10,4,255,255,255
gb-eng,10,5,200,16,46
gb-eng,10,6,200,16,46
gb-eng,10,7,255,255,255
gb-eng,10,8,255,255,255
gb-eng,10,9,255,255,255
gb-eng,10,10,255,255,255
fr,1,1,0,35,149
fr,1,2,0,35,149
fr,1,3,0,35,149
fr,1,4,0,35,149
fr,1,5,0,35,149
fr,1,6,0,35,149
fr,1,7,0,35,149
fr,1,8,0,35,149
fr,1,9,0,35,149
fr,1,10,0,35,149
fr,2,1,0,35,149
fr,2,2,0,35,149
fr,2,3,0,35,149
fr,2,4,0,35,149
fr,2,5,0,35,149
fr,2,6,0,35,149
fr,2,7,0,35,149
fr,2,8,0,35,149
fr,2,9,0,35,149
fr,2,10,0,35,149
fr,3,1,0,35,149
fr,3,2,0,35,149
fr,3,3,0,35,149
fr,3,4,0,35,149
fr,3,5,0,35,149
fr,3,6,0,35,149
fr,3,7,0,35,149
fr,3,8,0,35,149
fr,3,9,0,35,149
fr,3,10,0,35,149
fr,4,1,255,255,255
fr,4,2,255,255,255
fr,4,3,255,255,255
fr,4,4,255,255,255
fr,4,5,255,255,255
fr,4,6,255,255,255
fr,4,7,255,255,255
fr,4,8,255,255,255
fr,4,9,255,255,255
fr,4,10,255,255,255
fr,5,1,255,255,255
fr,5,2,255,255,255
fr,5,3,255,255,255
fr,5,4,255,255,255
fr,5,5,255,255,255
